CustomerID,LastPurshaceDate,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment,TransactionID,PurchaseDate,Quantity,Unit price,Age,Gender,Region,ByCash,Color,ProductOnSale,ProductSeason,Reviews,Salary,Score,date,TotalCost
1015,2023-10-15,39,2,678.0,574.0,544.0,313.0,84.0,80.0,79.0,80.0,Champions,708800,2023-10-15,2.0,92.0,19,male,South America ,1,Lavender,0.0,summer,Adidas Terrex outdoor gear excels in providing comfort and performance during adventures.,2924,4,2023-10-15,184.0
1015,2023-10-15,39,2,678.0,574.0,544.0,313.0,84.0,80.0,79.0,80.0,Champions,555381,2022-12-27,2.0,247.0,33,female,Europe,0,Cyan,0.0,spring,Adidas Solarboost 3 running shoes provide a responsive feel. Great for daily runs – 5 stars!,2924,5,2022-12-27,494.0
1022,2023-11-06,17,2,1406.0,638.0,544.0,503.0,93.0,80.0,79.0,83.0,Champions,998074,2023-11-06,2.0,114.0,51,male,Asia,1,Brown,0.0,spring,"Adidas wrist weights are adjustable and comfortable, adding resistance to workouts.",3223,4,2023-11-06,228.0
1022,2023-11-06,17,2,1406.0,638.0,544.0,503.0,93.0,80.0,79.0,83.0,Champions,880282,2023-07-17,2.0,589.0,45,female,Asia,0,Red,1.0,summer,"Adidas mountain biking shorts for kids offer comfort and durability, making them ideal for adventurous young cyclists.",3223,5,2023-07-17,1178.0
1030,2023-04-24,213,3,5184.0,217.0,651.0,657.0,32.0,95.0,95.0,79.0,Champions,147099,2023-04-24,3.0,154.0,60,male,Europe,0,Blue,0.0,fall,The Adidas sneakers I got were uncomfortable and gave me foot pain.,2707,1,2023-04-24,462.0
1030,2023-04-24,213,3,5184.0,217.0,651.0,657.0,32.0,95.0,95.0,79.0,Champions,173234,2023-02-15,3.0,681.0,24,female,South America ,0,Lavender,0.0,winter,The Adidas Supernova running jacket is perfect for unpredictable weather. Lightweight and breathable – 5 stars!,2707,5,2023-02-15,2043.0
1030,2023-04-24,213,3,5184.0,217.0,651.0,657.0,32.0,95.0,95.0,79.0,Champions,114291,2023-02-26,3.0,893.0,61,female,South America ,1,Olive,1.0,spring,"Adidas skateboards have a sturdy build, but the designs may not cater to all tastes.",2707,3,2023-02-26,2679.0
1033,2023-09-23,61,4,8408.0,525.0,684.0,688.0,76.0,100.0,99.0,94.0,Champions,865051,2023-09-23,3.0,91.0,53,female,Europe,1,Lavender,0.0,spring,"Adidas swimwear is not only fashionable but also durable, holding up well in various conditions.",2477,4,2023-09-23,273.0
1033,2023-09-23,61,4,8408.0,525.0,684.0,688.0,76.0,100.0,99.0,94.0,Champions,413709,2023-04-24,3.0,938.0,61,male,South America ,0,Blue,1.0,summer,Adidas Ultraboost DNA sneakers are a must-have for runners. Exceptional cushioning and support. Full marks!,2477,5,2023-04-24,2814.0
1033,2023-09-23,61,4,8408.0,525.0,684.0,688.0,76.0,100.0,99.0,94.0,Champions,407392,2022-12-15,3.0,953.75,28,female,South America ,1,Purple,0.0,winter,"Adidas workout gloves offer good grip, but the sizing may be tight for some users.",2477,3,2022-12-15,2861.25
1033,2023-09-23,61,4,8408.0,525.0,684.0,688.0,76.0,100.0,99.0,94.0,Champions,460916,2023-03-19,3.0,820.0,60,female,Asia,1,Purple,1.0,summer,Adidas could be more transparent about its manufacturing processes.,2477,2,2023-03-19,2460.0
1046,2023-10-31,23,2,2780.0,618.0,544.0,592.0,90.0,80.0,79.0,82.0,Champions,197717,2023-10-31,2.0,792.0,43,male,North America,0,Green,0.0,winter,"Adidas golf gloves for kids offer a secure grip, enhancing their performance on the golf course.",2523,5,2023-10-31,1584.0
1046,2023-10-31,23,2,2780.0,618.0,544.0,592.0,90.0,80.0,79.0,82.0,Champions,976030,2023-06-16,2.0,598.0,64,male,Asia,0,Magenta,0.0,spring,"Adidas soccer backpacks for kids are spacious and comfortable, making them perfect for carrying gear to and from practices.",2523,5,2023-06-16,1196.0
1068,2023-09-26,58,2,2488.0,535.0,544.0,563.0,78.0,80.0,79.0,79.0,Champions,560294,2023-08-29,2.0,776.0,26,male,Asia,0,Turquoise,1.0,summer,Adidas basketballs for kids are durable and suitable for junior players.,3956,5,2023-08-29,1552.0
1068,2023-09-26,58,2,2488.0,535.0,544.0,563.0,78.0,80.0,79.0,79.0,Champions,524895,2023-09-26,2.0,468.0,27,male,South America ,0,Magenta,1.0,winter,Adidas basketball hoops for kids are more than just equipment; they're gateways to developing basketball skills and passion.,3956,5,2023-09-26,936.0
1073,2023-10-12,42,2,2338.0,569.0,544.0,554.0,83.0,80.0,79.0,80.0,Champions,329244,2022-12-21,2.0,374.0,38,female,South America ,1,Turquoise,0.0,winter,Adidas sportswear stands out for its impeccable craftsmanship and attention to detail.,6237,5,2022-12-21,748.0
1073,2023-10-12,42,2,2338.0,569.0,544.0,554.0,83.0,80.0,79.0,80.0,Champions,420457,2023-10-12,2.0,795.0,37,male,Europe,0,Brown,1.0,fall,"Adidas cycling gloves provide a comfortable grip, enhancing the cycling experience.",6237,5,2023-10-12,1590.0
1074,2023-09-02,82,2,2823.0,474.0,544.0,594.0,69.0,80.0,79.0,77.0,Champions,327080,2023-09-02,3.0,669.0,27,male,South America ,1,mix,0.0,spring,Adidas Response Super running shoes provide excellent cushioning. Great for long distances – 5 stars!,4963,5,2023-09-02,2007.0
1074,2023-09-02,82,2,2823.0,474.0,544.0,594.0,69.0,80.0,79.0,77.0,Champions,781811,2023-06-08,3.0,272.0,24,female,Europe,1,Orange,0.0,winter,"Adidas paintball masks for kids offer protection and visibility, ensuring a safe and enjoyable paintball experience.",4963,5,2023-06-08,816.0
1098,2023-11-10,13,2,1616.0,648.0,544.0,514.0,94.0,80.0,79.0,83.0,Champions,624399,2023-11-10,2.0,702.0,35,male,South America ,0,Olive,1.0,spring,"Adidas soccer cleats for kids are not just footwear; they're a performance-enhancing asset on the field, offering traction and support.",4971,5,2023-11-10,1404.0
1098,2023-11-10,13,2,1616.0,648.0,544.0,514.0,94.0,80.0,79.0,83.0,Champions,511388,2023-04-02,2.0,106.0,56,female,Europe,1,Turquoise,1.0,spring,The Adidas website is not secure; I'm concerned about my personal information.,4971,1,2023-04-02,212.0
1103,2023-11-21,2,3,5504.0,681.0,651.0,661.0,99.0,95.0,95.0,96.0,Champions,810988,2023-06-29,3.0,953.75,42,male,North America,1,Purple,1.0,summer,"Adidas running shoes for kids offer cushioning and support, making them ideal for active kids on the go.",2879,5,2023-06-29,2861.25
1103,2023-11-21,2,3,5504.0,681.0,651.0,661.0,99.0,95.0,95.0,96.0,Champions,877633,2023-11-21,3.0,192.0,22,male,South America ,0,Magenta,1.0,fall,"Adidas karate belts for kids are durable and colorful, allowing young martial artists to progress in their training.",2879,5,2023-11-21,576.0
1103,2023-11-21,2,3,5504.0,681.0,651.0,661.0,99.0,95.0,95.0,96.0,Champions,159874,2023-08-07,3.0,689.0,39,male,Europe,0,Gray,0.0,summer,"Adidas basketball hoops for kids are sturdy and adjustable, providing hours of fun.",2879,4,2023-08-07,2067.0
1115,2023-09-02,82,2,2534.0,474.0,544.0,570.0,69.0,80.0,79.0,77.0,Champions,928687,2023-09-02,2.0,907.0,22,female,Europe,1,Cyan,0.0,fall,"Adidas NMD collection blends comfort and style, but some models lack arch support.",3796,3,2023-09-02,1814.0
1115,2023-09-02,82,2,2534.0,474.0,544.0,570.0,69.0,80.0,79.0,77.0,Champions,869869,2023-03-07,2.0,360.0,51,female,Europe,1,Blue,0.0,fall,"Adidas soccer gloves for kids provide a secure grip, enhancing the young goalkeeper's performance.",3796,5,2023-03-07,720.0
1119,2023-11-10,13,3,6306.0,648.0,651.0,674.0,94.0,95.0,95.0,95.0,Champions,371894,2023-11-10,3.0,286.0,63,male,Asia,1,Cyan,0.0,spring,"Adidas lacrosse helmets for kids offer reliable protection, meeting safety standards for the sport.",2633,5,2023-11-10,858.0
1119,2023-11-10,13,3,6306.0,648.0,651.0,674.0,94.0,95.0,95.0,95.0,Champions,125308,2022-12-29,3.0,867.0,21,male,Europe,1,Red,0.0,winter,"Adidas swimming caps for kids ensure a snug fit and reduced drag, enhancing their performance in the pool.",2633,5,2022-12-29,2601.0
1119,2023-11-10,13,3,6306.0,648.0,651.0,674.0,94.0,95.0,95.0,95.0,Champions,725394,2023-06-05,3.0,949.0,20,female,Europe,0,Magenta,1.0,spring,"Adidas golf pants are stylish and comfortable, perfect for a day on the golf course.",2633,4,2023-06-05,2847.0
1121,2023-08-24,91,2,2598.0,456.0,544.0,577.0,66.0,80.0,79.0,76.0,Champions,578614,2023-08-24,2.0,886.0,52,female,South America ,0,Olive,1.0,winter,Adidas cricket balls for kids are durable and suitable for aspiring young cricketers.,3079,5,2023-08-24,1772.0
1121,2023-08-24,91,2,2598.0,456.0,544.0,577.0,66.0,80.0,79.0,76.0,Champions,410498,2023-07-11,2.0,413.0,37,female,Europe,1,Cyan,0.0,spring,Adidas lacrosse shooting targets for kids are durable and provide a visual target for improving shot accuracy.,3079,5,2023-07-11,826.0
1124,2023-09-02,82,2,2524.0,474.0,544.0,567.0,69.0,80.0,79.0,77.0,Champions,572460,2023-09-02,2.0,655.0,32,female,Europe,1,Lavender,1.0,winter,"Adidas socks are not only comfortable but also durable, holding up well through numerous wears.",4197,5,2023-09-02,1310.0
1124,2023-09-02,82,2,2524.0,474.0,544.0,567.0,69.0,80.0,79.0,77.0,Champions,695098,2023-03-21,2.0,607.0,50,male,North America,1,Yellow,1.0,winter,"Adidas wrestling headgear for kids offers protection and comfort, ensuring safety during play.",4197,5,2023-03-21,1214.0
1139,2023-10-23,31,3,5013.0,597.0,651.0,654.0,87.0,95.0,95.0,93.0,Champions,849756,2023-01-08,3.0,213.0,54,male,Asia,1,Pink,1.0,winter,Adidas soccer balls for kids are durable and sized appropriately for young players.,2957,5,2023-01-08,639.0
1139,2023-10-23,31,3,5013.0,597.0,651.0,654.0,87.0,95.0,95.0,93.0,Champions,224872,2023-10-23,3.0,851.0,46,female,South America ,0,Olive,1.0,summer,Not the best experience with Adidas; there are better alternatives.,2957,2,2023-10-23,2553.0
1139,2023-10-23,31,3,5013.0,597.0,651.0,654.0,87.0,95.0,95.0,93.0,Champions,484598,2023-05-13,3.0,607.0,43,male,South America ,1,Orange,0.0,fall,The Adidas website is slow and crashes frequently.,2957,1,2023-05-13,1821.0
1148,2023-10-20,34,2,1816.0,592.0,544.0,528.0,86.0,80.0,79.0,81.0,Champions,392242,2023-10-20,2.0,771.0,53,male,South America ,1,Pink,0.0,summer,"Adidas basketball shorts for kids combine style and functionality, meeting the demands of young players.",2351,5,2023-10-20,1542.0
1148,2023-10-20,34,2,1816.0,592.0,544.0,528.0,86.0,80.0,79.0,81.0,Champions,147148,2023-05-19,2.0,137.0,41,female,North America,0,Cyan,0.0,summer,"Adidas soccer gloves for kids offer a secure grip and optimal control, empowering young goalkeepers to make impressive saves.",2351,5,2023-05-19,274.0
1156,2023-08-29,86,2,722.0,468.0,544.0,334.0,68.0,80.0,79.0,76.0,Champions,273423,2023-04-05,2.0,182.0,28,male,Europe,0,Purple,1.0,fall,The Adidas Tiro 19 training pants are breathable and versatile. Great for various activities – a perfect 5 out of 5!,4803,5,2023-04-05,364.0
1156,2023-08-29,86,2,722.0,468.0,544.0,334.0,68.0,80.0,79.0,76.0,Champions,146574,2023-08-29,2.0,179.0,52,male,South America ,1,Red,0.0,spring,"Adidas basketball shorts for kids are designed to meet the dynamic demands of young players, offering both comfort and flexibility on the court.",4803,5,2023-08-29,358.0
1168,2023-05-03,204,3,7113.0,229.0,651.0,683.0,33.0,95.0,95.0,79.0,Champions,427674,2023-01-16,3.0,686.0,63,male,Asia,1,Orange,1.0,summer,Adidas Adizero Adios Pro running shoes provide speed and comfort. Perfect for races – a solid 5 stars!,3006,5,2023-01-16,2058.0
1168,2023-05-03,204,3,7113.0,229.0,651.0,683.0,33.0,95.0,95.0,79.0,Champions,120202,2023-03-09,3.0,886.0,64,male,Asia,0,Blue,1.0,winter,"Adidas swim goggles are durable, though the straps may loosen over time.",3006,3,2023-03-09,2658.0
1168,2023-05-03,204,3,7113.0,229.0,651.0,683.0,33.0,95.0,95.0,79.0,Champions,677878,2023-05-03,3.0,799.0,55,male,Europe,1,Maroon,0.0,winter,"Adidas soccer socks for kids offer comfort and support, keeping young players focused and agile on the field.",3006,5,2023-05-03,2397.0
1184,2023-08-19,96,2,1276.0,446.0,544.0,496.0,65.0,80.0,79.0,76.0,Champions,926790,2023-06-20,2.0,489.0,44,male,Europe,1,Lavender,1.0,summer,"Adidas swim caps are durable, though they may not fit securely for long-haired swimmers.",428,3,2023-06-20,978.0
1184,2023-08-19,96,2,1276.0,446.0,544.0,496.0,65.0,80.0,79.0,76.0,Champions,383560,2023-08-19,2.0,149.0,61,female,Asia,0,Maroon,1.0,spring,The Adidas sneakers I bought are noisy and make a squeaking sound.,542,1,2023-08-19,298.0
1186,2023-11-12,11,2,954.0,652.0,544.0,478.0,95.0,80.0,79.0,83.0,Champions,728691,2022-12-29,2.0,71.0,61,female,Asia,1,mix,0.0,spring,"Adidas volleyball shoes for kids provide comfort and support, enhancing their performance on the court.",2437,5,2022-12-29,142.0
1186,2023-11-12,11,2,954.0,652.0,544.0,478.0,95.0,80.0,79.0,83.0,Champions,170995,2023-11-12,2.0,406.0,43,female,Europe,1,Maroon,0.0,summer,"Adidas golf clubs for kids are designed with precision and durability, perfect for budding golf enthusiasts.",2437,5,2023-11-12,812.0
1199,2023-11-20,3,2,1910.0,677.0,544.0,533.0,98.0,80.0,79.0,84.0,Champions,520046,2023-11-20,2.0,636.0,45,female,Asia,0,Blue,1.0,fall,"The quality of my Adidas tracksuit is exceptional. It feels great, fits perfectly, and earns a solid 5 stars.",3006,5,2023-11-20,1272.0
1199,2023-11-20,3,2,1910.0,677.0,544.0,533.0,98.0,80.0,79.0,84.0,Champions,437311,2023-05-21,2.0,319.0,19,male,South America ,0,Maroon,0.0,summer,"Adidas swim goggles for kids are a must-have for any young swimmer, providing clear vision and comfort during aquatic adventures.",3006,5,2023-05-21,638.0
1205,2023-10-25,29,2,3706.0,601.0,544.0,634.0,87.0,80.0,79.0,81.0,Champions,339071,2023-06-21,2.0,950.0,37,female,North America,0,Green,0.0,fall,"Adidas soccer goals for kids are durable and well-designed, ensuring a reliable setup for games.",6781,5,2023-06-21,1900.0
1205,2023-10-25,29,2,3706.0,601.0,544.0,634.0,87.0,80.0,79.0,81.0,Champions,877527,2023-10-25,2.0,903.0,20,male,South America ,0,Maroon,1.0,spring,"Adidas lacrosse helmets for kids offer reliable protection, meeting safety standards for the sport.",6781,4,2023-10-25,1806.0
1208,2023-09-30,54,2,1618.0,544.0,544.0,516.0,79.0,80.0,79.0,79.0,Champions,595847,2023-03-18,2.0,738.0,57,female,Europe,0,Purple,0.0,winter,"Adidas wrestling shoes offer excellent grip and support, enhancing performance on the mat.",2764,5,2023-03-18,1476.0
1208,2023-09-30,54,2,1618.0,544.0,544.0,516.0,79.0,80.0,79.0,79.0,Champions,518043,2023-09-30,2.0,71.0,44,male,Europe,1,Red,1.0,summer,The Adidas Adicolor Classics backpack is both stylish and functional. Great for daily use – a solid 5 stars!,2764,5,2023-09-30,142.0
1222,2023-09-19,65,2,768.0,512.0,544.0,354.0,74.0,80.0,79.0,78.0,Champions,803541,2022-12-15,2.0,234.0,20,female,Asia,1,Olive,0.0,spring,Adidas lacrosse sticks for kids are lightweight and designed for younger players.,3313,5,2022-12-15,468.0
1222,2023-09-19,65,2,768.0,512.0,544.0,354.0,74.0,80.0,79.0,78.0,Champions,514312,2023-09-19,2.0,150.0,27,male,Asia,1,Orange,1.0,fall,"Adidas wrestling shoes for kids offer reliable grip and support, enhancing performance on the mat.",3313,5,2023-09-19,300.0
1227,2023-10-27,27,2,460.0,608.0,544.0,219.0,88.0,80.0,79.0,81.0,Champions,381093,2023-08-13,2.0,100.0,47,male,Europe,0,Red,1.0,summer,"Adidas ankle socks are comfortable and practical, suitable for various activities.",3055,5,2023-08-13,200.0
1227,2023-10-27,27,2,460.0,608.0,544.0,219.0,88.0,80.0,79.0,81.0,Champions,506996,2023-10-27,2.0,130.0,48,male,Europe,0,Red,0.0,spring,"Adidas volleyball shoes for kids provide comfort and support, enhancing their performance on the court.",3055,5,2023-10-27,260.0
1236,2023-11-01,22,2,1972.0,622.0,544.0,537.0,90.0,80.0,79.0,82.0,Champions,628255,2022-11-28,2.0,740.0,63,female,Asia,0,Brown,1.0,spring,"Adidas wrestling knee pads provide reliable protection, ensuring safety on the mat.",3178,4,2022-11-28,1480.0
1236,2023-11-01,22,2,1972.0,622.0,544.0,537.0,90.0,80.0,79.0,82.0,Champions,998565,2023-11-01,2.0,246.0,63,female,Asia,0,Green,1.0,summer,I've had issues with the stitching on Adidas clothing.,3178,2,2023-11-01,492.0
1237,2023-11-11,12,2,1044.0,650.0,544.0,482.0,95.0,80.0,79.0,83.0,Champions,317661,2023-03-14,2.0,304.0,30,male,South America ,0,Brown,1.0,summer,"Adidas wrestling shoes for kids offer reliable grip and support, enhancing performance on the mat.",5528,5,2023-03-14,608.0
1237,2023-11-11,12,2,1044.0,650.0,544.0,482.0,95.0,80.0,79.0,83.0,Champions,889689,2023-11-11,2.0,218.0,37,female,North America,0,Magenta,1.0,fall,"Adidas taekwondo uniforms for kids are designed for flexibility and ease of movement, supporting young taekwondo practitioners.",5528,5,2023-11-11,436.0
1240,2023-09-14,70,2,2628.0,502.0,544.0,582.0,73.0,80.0,79.0,78.0,Champions,553173,2023-09-14,2.0,594.0,52,female,South America ,0,Orange,0.0,winter,Adidas lacrosse sticks for kids are lightweight and designed for younger players.,2326,5,2023-09-14,1188.0
1240,2023-09-14,70,2,2628.0,502.0,544.0,582.0,73.0,80.0,79.0,78.0,Champions,757664,2022-12-10,2.0,720.0,36,male,North America,1,Brown,1.0,winter,"Adidas lacrosse gloves offer protection and flexibility, ensuring comfort during play.",2326,4,2022-12-10,1440.0
1244,2023-08-21,94,2,1694.0,452.0,544.0,520.0,66.0,80.0,79.0,76.0,Champions,948273,2023-06-17,2.0,542.0,60,male,Europe,1,Orange,1.0,spring,"Adidas tennis rackets for kids provide excellent control and power, supporting their development on the court.",2580,5,2023-06-17,1084.0
1244,2023-08-21,94,2,1694.0,452.0,544.0,520.0,66.0,80.0,79.0,76.0,Champions,529983,2023-08-21,2.0,305.0,26,male,Europe,0,Turquoise,0.0,summer,"Adidas skateboards for kids are durable and well-crafted, ensuring a smooth and safe ride for young skaters.",2580,5,2023-08-21,610.0
1248,2023-11-18,5,2,958.0,670.0,544.0,479.0,97.0,80.0,79.0,84.0,Champions,282297,2023-02-27,2.0,408.0,30,male,North America,1,Red,1.0,spring,Adidas soccer balls for kids are durable and sized appropriately for young players.,6073,5,2023-02-27,816.0
1248,2023-11-18,5,2,958.0,670.0,544.0,479.0,97.0,80.0,79.0,84.0,Champions,456789,2023-11-18,2.0,71.0,23,male,Europe,1,Purple,1.0,spring,"Adidas basketball shorts for kids are a blend of style and functionality, meeting the high-energy demands of young players.",6073,5,2023-11-18,142.0
1256,2023-10-11,43,3,5805.0,568.0,651.0,668.0,82.0,95.0,95.0,92.0,Champions,317111,2023-09-20,3.0,543.0,19,male,South America ,0,Red,1.0,summer,The Adidas sneakers I bought gave me blisters on my feet.,3464,1,2023-09-20,1629.0
1256,2023-10-11,43,3,5805.0,568.0,651.0,668.0,82.0,95.0,95.0,92.0,Champions,745588,2023-04-27,3.0,808.0,65,female,Asia,1,Green,0.0,spring,"Adidas soccer gloves for kids provide a secure grip, enhancing the young goalkeeper's performance.",3464,5,2023-04-27,2424.0
1256,2023-10-11,43,3,5805.0,568.0,651.0,668.0,82.0,95.0,95.0,92.0,Champions,514306,2023-10-11,3.0,584.0,33,male,Europe,1,Gray,0.0,summer,The Adidas customer service hotline was always busy and hard to reach.,3464,1,2023-10-11,1752.0
1266,2023-06-30,146,3,2511.0,347.0,651.0,565.0,50.0,95.0,95.0,84.0,Champions,308423,2023-06-30,3.0,521.0,24,female,Asia,0,Brown,1.0,winter,"Adidas leggings offer a perfect blend of comfort, flexibility, and trendy designs.",3616,4,2023-06-30,1563.0
1266,2023-06-30,146,3,2511.0,347.0,651.0,565.0,50.0,95.0,95.0,84.0,Champions,885051,2023-06-14,3.0,177.0,48,female,Europe,1,Pink,0.0,winter,"Adidas soccer gloves for kids provide a secure grip, enhancing the young goalkeeper's performance.",3616,5,2023-06-14,531.0
1266,2023-06-30,146,3,2511.0,347.0,651.0,565.0,50.0,95.0,95.0,84.0,Champions,497180,2022-12-21,3.0,139.0,28,male,South America ,0,Maroon,0.0,fall,"Adidas soccer cleats for kids are more than just footwear; they're performance enhancers, providing traction and support on the field.",3616,5,2022-12-21,417.0
1274,2023-10-19,35,2,2486.0,590.0,544.0,562.0,86.0,80.0,79.0,81.0,Champions,556996,2023-10-19,2.0,648.0,50,female,South America ,1,Olive,0.0,summer,"Adidas socks are comfortable, but they may wear out quicker than expected.",3292,3,2023-10-19,1296.0
1274,2023-10-19,35,2,2486.0,590.0,544.0,562.0,86.0,80.0,79.0,81.0,Champions,733251,2023-01-26,2.0,595.0,21,female,North America,1,mix,1.0,summer,"Adidas soccer shorts for kids are stylish and comfortable, perfect for young athletes.",3292,5,2023-01-26,1190.0
1285,2023-11-09,14,2,2144.0,644.0,544.0,548.0,94.0,80.0,79.0,83.0,Champions,814283,2023-11-09,2.0,871.0,45,female,Asia,0,Yellow,1.0,summer,"Adidas soccer shorts for kids are stylish and comfortable, perfect for young athletes.",3206,5,2023-11-09,1742.0
1285,2023-11-09,14,2,2144.0,644.0,544.0,548.0,94.0,80.0,79.0,83.0,Champions,891547,2022-11-25,2.0,201.0,65,male,Asia,1,Green,1.0,summer,Adidas lacrosse sticks for kids are lightweight and designed for younger players.,3206,4,2022-11-25,402.0
1286,2023-11-15,8,3,5022.0,662.0,651.0,655.0,96.0,95.0,95.0,95.0,Champions,764855,2023-11-15,3.0,595.0,60,male,Asia,0,Brown,0.0,winter,"The Adidas Yeezy line consistently delivers on both style and exclusivity, capturing attention.",2883,5,2023-11-15,1785.0
1286,2023-11-15,8,3,5022.0,662.0,651.0,655.0,96.0,95.0,95.0,95.0,Champions,401811,2023-10-26,3.0,492.0,28,female,North America,0,Maroon,0.0,spring,"Adidas wrestling headgear provides protection and comfort, ensuring safety on the mat.",2883,4,2023-10-26,1476.0
1286,2023-11-15,8,3,5022.0,662.0,651.0,655.0,96.0,95.0,95.0,95.0,Champions,560373,2023-08-09,3.0,587.0,63,male,North America,0,Olive,1.0,winter,"Adidas basketball hoops are durable and adjustable, providing endless hours of play.",2883,4,2023-08-09,1761.0
1287,2023-11-19,4,3,4149.0,674.0,651.0,639.0,98.0,95.0,95.0,96.0,Champions,770212,2023-05-12,3.0,742.0,32,female,Asia,1,Brown,1.0,summer,"Adidas soccer gloves for kids provide a secure grip, enhancing the young goalkeeper's performance.",5614,5,2023-05-12,2226.0
1287,2023-11-19,4,3,4149.0,674.0,651.0,639.0,98.0,95.0,95.0,96.0,Champions,764298,2023-05-08,3.0,146.0,40,female,North America,1,Yellow,1.0,summer,"Adidas gym towels are absorbent and durable, perfect for workouts and sports activities.",5614,4,2023-05-08,438.0
1287,2023-11-19,4,3,4149.0,674.0,651.0,639.0,98.0,95.0,95.0,96.0,Champions,161045,2023-11-19,3.0,495.0,34,male,North America,1,mix,0.0,summer,"The Adidas Harden basketball shoes have good ankle support, but they can be heavy.",5614,3,2023-11-19,1485.0
1294,2023-11-22,1,3,5982.0,686.0,651.0,670.0,100.0,95.0,95.0,96.0,Champions,147561,2023-06-08,3.0,787.0,56,female,North America,0,Lavender,0.0,summer,"Adidas golf balls perform well, but they may not suit every golfer's preference.",3108,3,2023-06-08,2361.0
1294,2023-11-22,1,3,5982.0,686.0,651.0,670.0,100.0,95.0,95.0,96.0,Champions,153941,2023-11-22,3.0,452.0,22,male,Asia,1,mix,0.0,summer,"Adidas soccer shorts for kids are stylish and comfortable, perfect for young athletes.",3108,4,2023-11-22,1356.0
1294,2023-11-22,1,3,5982.0,686.0,651.0,670.0,100.0,95.0,95.0,96.0,Champions,659459,2023-11-04,3.0,755.0,30,male,Europe,1,Green,0.0,winter,"Adidas basketball jerseys for kids combine style and functionality, meeting the needs of young players.",3108,4,2023-11-04,2265.0
1296,2023-04-08,229,3,5010.0,193.0,651.0,653.0,28.0,95.0,95.0,78.0,Champions,799580,2023-04-07,3.0,336.0,58,male,South America ,0,Gray,1.0,spring,"Aidas soccer cleats for kids provide good traction on the field, ensuring safety and performance.",2523,5,2023-04-07,1008.0
